date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:12	111/111	---M--	200	added ('OK')	text/plain	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://freegiftcodegenerator.com/robots.txt		(from )
11:29:12	26177/26177	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://freegiftcodegenerator.com/	C:/Users/Dell/Desktop/NETFLIX/NET/CODE/freegiftcodegenerator.com/index.html	(from )
11:29:13	21281/21281	---M--	200	added ('OK')	image/x-icon	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://freegiftcodegenerator.com/img/generate-gift-card.ico	C:/Users/Dell/Desktop/NETFLIX/NET/CODE/freegiftcodegenerator.com/img/generate-gift-card.ico	(from https://freegiftcodegenerator.com/)
11:29:13	8042/8042	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://freegiftcodegenerator.com/assets/img/generate-gift-card.jpg	C:/Users/Dell/Desktop/NETFLIX/NET/CODE/freegiftcodegenerator.com/assets/img/generate-gift-card.jpg	(from https://freegiftcodegenerator.com/)
11:29:13	29555/29555	---MC-	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://freegiftcodegenerator.com/css/style.php?v=20231003111414	C:/Users/Dell/Desktop/NETFLIX/NET/CODE/freegiftcodegenerator.com/css/style5b3d.css	(from https://freegiftcodegenerator.com/)
11:29:14	70607/70607	---M--	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://freegiftcodegenerator.com/css/animate.css	C:/Users/Dell/Desktop/NETFLIX/NET/CODE/freegiftcodegenerator.com/css/animate.css	(from https://freegiftcodegenerator.com/)
11:29:14	155710/155710	---M--	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://freegiftcodegenerator.com/css/bootstrap.min.css	C:/Users/Dell/Desktop/NETFLIX/NET/CODE/freegiftcodegenerator.com/css/bootstrap.min.css	(from https://freegiftcodegenerator.com/)
11:29:15	5418/5418	---M--	200	added ('OK')	text/css	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://freegiftcodegenerator.com/css/magnific-popup.css	C:/Users/Dell/Desktop/NETFLIX/NET/CODE/freegiftcodegenerator.com/css/magnific-popup.css	(from https://freegiftcodegenerator.com/)
11:29:15	26207/26207	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://freegiftcodegenerator.com/index.html	C:/Users/Dell/Desktop/NETFLIX/NET/CODE/freegiftcodegenerator.com/index-2.html	(from https://freegiftcodegenerator.com/)
11:29:16	9952/9952	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://freegiftcodegenerator.com/steam-wallet.html	C:/Users/Dell/Desktop/NETFLIX/NET/CODE/freegiftcodegenerator.com/steam-wallet.html	(from https://freegiftcodegenerator.com/)
11:29:16	1702/1702	---M--	200	added ('OK')	image/webp	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://freegiftcodegenerator.com/img/steam-wallet.webp	C:/Users/Dell/Desktop/NETFLIX/NET/CODE/freegiftcodegenerator.com/img/steam-wallet.webp	(from https://freegiftcodegenerator.com/)
11:29:16	9790/9790	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://freegiftcodegenerator.com/amazon.html	C:/Users/Dell/Desktop/NETFLIX/NET/CODE/freegiftcodegenerator.com/amazon.html	(from https://freegiftcodegenerator.com/)
11:29:17	2552/2552	---M--	200	added ('OK')	image/webp	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://freegiftcodegenerator.com/img/amazon.webp	C:/Users/Dell/Desktop/NETFLIX/NET/CODE/freegiftcodegenerator.com/img/amazon.webp	(from https://freegiftcodegenerator.com/)
11:29:17	9790/9790	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://freegiftcodegenerator.com/itunes.html	C:/Users/Dell/Desktop/NETFLIX/NET/CODE/freegiftcodegenerator.com/itunes.html	(from https://freegiftcodegenerator.com/)
11:29:17	3558/3558	---M--	200	added ('OK')	image/webp	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://freegiftcodegenerator.com/img/itunes.webp	C:/Users/Dell/Desktop/NETFLIX/NET/CODE/freegiftcodegenerator.com/img/itunes.webp	(from https://freegiftcodegenerator.com/)
